Suburb_0,Suburb_1,Suburb_2,Suburb_3,Suburb_4,Suburb_5,Suburb_6,Suburb_7,Suburb_8,Rooms,Price,SellerG_0,SellerG_1,SellerG_2,SellerG_3,SellerG_4,SellerG_5,SellerG_6,SellerG_7,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea_0,CouncilArea_1,CouncilArea_2,CouncilArea_3,CouncilArea_4,Lattitude,Longtitude,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan
0,0,0,0,1,1,0,0,1,3,1515000.0,0,0,0,1,0,0,1,1,7.8,3.0,2.0,2.0,318.0,125.0,0,0,1,1,1,-37.8447,145.0916,8920.0,48.0,2016,6,18,5,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,3,770000.0,0,0,0,0,1,0,1,0,8.0,3.0,1.0,0.0,438.0,125.0,0,0,0,1,0,-37.754,144.92600000000004,9264.0,48.0,2016,4,16,5,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,1,1,0,2,478000.0,0,0,1,0,1,1,0,1,5.6,1.0,1.0,1.0,0.0,51.0,0,0,1,1,1,-37.7997,145.0304,10331.0,48.0,2016,5,14,5,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,1,1,0,3,1165000.0,0,0,0,0,0,0,0,1,2.6,3.0,1.0,1.0,167.0,170.0,0,0,0,0,1,-37.8167,145.0098,14949.0,48.0,2016,8,28,6,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,1,1,0,3,1032000.0,0,0,0,0,0,0,0,1,2.6,3.0,1.0,0.0,128.0,125.0,0,0,0,0,1,-37.8198,145.0026,14949.0,48.0,2016,9,24,5,1,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,1,0,1,6,1115000.0,0,0,0,0,1,1,0,0,18.0,6.0,3.0,4.0,966.0,332.0,0,1,1,0,1,-37.68927,145.1491,2346.0,28.0,2017,8,19,5,1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,3,1331000.0,0,0,0,0,1,1,0,0,10.8,3.0,2.0,2.0,697.0,158.0,0,1,1,0,1,-37.76823,145.08103,4480.0,48.0,2017,9,23,5,1,0,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,2,444000.0,0,0,1,1,1,0,0,0,16.3,2.0,1.0,1.0,277.0,100.0,1,1,0,0,1,-37.66612,145.0008,8279.0,38.0,2017,7,29,5,0,0,1,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,1,4,1700000.0,0,0,1,0,1,0,1,1,13.0,4.0,2.0,2.0,545.0,180.0,0,1,0,0,0,-37.9002,145.0773,3145.0,78.0,2016,12,11,6,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,0,1,1,3,1350000.0,0,0,1,0,1,0,0,1,13.4,3.0,1.0,1.0,697.0,121.0,0,1,1,0,1,-37.81511,145.15828,5713.0,68.0,2017,8,26,5,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3,850000.0,0,0,0,0,0,0,0,1,2.5,3.0,2.0,1.0,94.0,125.0,0,0,0,0,1,-37.7969,144.9969,4019.0,48.0,2017,4,3,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,1,0,1,2,400000.0,0,0,0,0,0,0,0,1,6.1,2.0,1.0,1.0,0.0,65.0,0,0,0,1,1,-37.8619,144.976,13240.0,48.0,2016,5,14,5,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,1,0,1,0,2,1030000.0,0,0,0,1,0,1,1,1,3.3,2.0,2.0,1.0,0.0,125.0,0,0,1,1,0,-37.8407,145.0043,14887.0,48.0,2016,12,6,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,2,755000.0,0,0,0,0,0,0,1,1,5.2,2.0,1.0,0.0,0.0,125.0,0,1,1,0,1,-37.76162,144.9608,11918.0,48.0,2017,5,27,5,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,1,0,1,4,685000.0,1,0,0,0,0,1,0,0,12.1,4.0,2.0,1.0,287.0,152.0,1,1,0,0,1,-37.69382,145.04831,10175.0,28.0,2017,12,8,4,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,1,1,2,518000.0,0,0,0,1,0,0,1,1,5.1,2.0,1.0,1.0,0.0,125.0,0,0,0,1,1,-37.8533,144.9881,4380.0,48.0,2016,7,26,1,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,1,0,1,3,1655000.0,0,0,0,0,0,0,1,1,5.5,3.0,1.0,3.0,472.0,101.0,0,0,1,0,0,-37.7765,145.0027,11364.0,94.0,2016,8,10,2,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,3,960000.0,0,0,0,0,0,0,1,0,6.7,3.0,1.0,3.0,491.0,125.0,0,1,1,0,1,-37.73913,144.96086,11204.0,48.0,2017,9,23,5,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,0,2,945000.0,0,0,1,0,0,0,0,0,5.1,2.0,1.0,1.0,126.0,65.0,0,1,0,1,1,-37.80473,144.89095,2417.0,128.0,2017,7,29,5,1,0,0,0,0,0,0,0,0,1
0,0,1,1,1,0,1,1,1,4,2425000.0,1,0,1,1,1,1,1,0,7.5,4.0,2.0,2.0,729.0,278.0,0,0,1,1,1,-37.8343,145.0488,6482.0,48.0,2017,5,13,5,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,1,3,848000.0,0,0,0,0,0,0,1,0,10.5,3.0,1.0,2.0,542.0,125.0,0,0,0,1,0,-37.7706,144.8629,4502.0,48.0,2017,4,3,0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,1,1,0,1,3,678000.0,0,0,1,0,1,0,1,1,24.7,3.0,1.0,2.0,624.0,150.0,1,0,1,1,1,-37.97806,145.20432,10894.0,48.0,2017,3,6,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,5,1600000.0,0,0,1,0,1,1,1,0,11.2,5.0,2.0,2.0,639.0,125.0,0,0,1,1,0,-37.8915,145.0844,8801.0,48.0,2016,10,15,5,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,1,1,3,838000.0,0,0,0,0,1,1,0,0,13.8,3.0,2.0,1.0,467.0,180.0,0,1,1,1,0,-37.7699,145.1081,5420.0,48.0,2016,5,28,5,1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,4,1630000.0,0,0,0,1,0,1,1,0,10.7,4.0,2.0,1.0,596.0,125.0,0,1,1,0,0,-37.9113,145.0207,6938.0,48.0,2017,5,13,5,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,1,4,1200000.0,0,0,0,1,0,0,1,1,16.0,4.0,2.0,2.0,304.0,183.0,1,0,0,0,1,-37.94633,145.04947,4794.0,11.0,2017,7,29,5,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,0,0,2,815000.0,0,0,0,1,1,0,0,1,6.6,2.0,1.0,0.0,172.0,81.0,0,1,0,1,1,-37.81,144.8896,2417.0,118.0,2016,7,30,5,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,1,4,2640000.0,0,0,1,0,0,1,0,0,8.0,4.0,2.0,2.0,650.0,125.0,0,0,1,0,1,-37.8671,144.8875,6380.0,48.0,2017,4,3,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,1,0,1,1,0,4,750000.0,0,0,0,0,1,0,1,0,12.4,4.0,2.0,1.0,613.0,219.0,0,1,1,0,1,-37.7034,144.9666,5070.0,48.0,2016,6,18,5,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,2,2120000.0,0,0,0,0,0,1,0,0,3.3,2.0,1.0,1.0,199.0,107.0,0,0,0,1,1,-37.8422,144.9554,3280.0,118.0,2016,10,9,6,1,0,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,1,0,2,1350000.0,0,0,0,0,0,1,1,1,2.7,2.0,2.0,1.0,0.0,109.0,1,0,0,0,0,-37.82863,144.98514,14887.0,88.0,2017,12,8,4,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,1,1,0,1,3,1080000.0,0,0,0,0,0,0,1,1,3.5,3.0,2.0,1.0,77.0,133.0,0,0,0,0,1,-37.7923,144.9776,6244.0,2.0,2016,11,19,5,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0,1,1,0,1,1,510000.0,0,0,0,1,0,0,1,1,7.0,1.0,1.0,2.0,0.0,83.0,0,1,0,1,1,-37.8173,144.894,6543.0,14.0,2017,11,2,3,0,0,1,0,0,0,0,0,0,1
0,1,1,1,0,1,0,1,0,3,1300000.0,0,0,1,0,1,0,0,1,13.4,3.0,1.0,1.0,734.0,125.0,0,1,0,1,0,-37.83576,145.13634,4387.0,48.0,2017,6,17,5,1,0,0,1,0,0,0,0,0,0
0,1,1,0,0,1,1,1,0,4,821000.0,0,1,0,1,0,0,0,1,16.5,4.0,3.0,2.0,544.0,264.0,1,0,0,1,1,-37.67841,144.87923999999995,2474.0,21.0,2017,7,29,5,1,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,1,0,3,1500000.0,0,0,0,0,0,0,1,1,5.3,3.0,3.0,2.0,255.0,125.0,0,0,1,1,1,-37.83195,145.04211999999995,11308.0,21.0,2017,12,8,4,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1,3,3512500.0,0,0,0,0,1,0,0,1,6.3,3.0,2.0,2.0,617.0,285.0,0,0,1,1,0,-37.8557,145.0264,4836.0,20.0,2016,11,27,6,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,2,1105000.0,0,0,0,0,0,0,1,0,5.2,2.0,1.0,1.0,147.0,125.0,0,1,1,0,1,-37.7702,144.9692,11918.0,48.0,2017,11,2,3,1,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,1,0,1,3,900000.0,0,0,1,0,1,1,0,1,18.0,3.0,2.0,2.0,812.0,129.0,1,1,0,0,0,-37.70577,145.1316,2346.0,38.0,2017,12,8,4,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,1,1,2,485000.0,0,0,0,0,1,1,0,0,13.4,2.0,1.0,1.0,0.0,55.0,0,1,0,1,0,-37.82945,145.15697,5713.0,58.0,2017,8,7,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,2,500000.0,0,0,0,1,0,0,1,0,11.2,2.0,1.0,2.0,304.0,125.0,0,1,1,0,1,-37.70733,144.94041,2606.0,48.0,2017,1,7,5,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,1,1,1,1,3,1150000.0,0,0,1,0,1,1,1,0,15.5,3.0,1.0,2.0,509.0,125.0,0,1,0,0,0,-37.9237,145.09211000000005,3692.0,48.0,2017,8,7,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,0,1,2,490000.0,0,0,0,1,0,0,1,1,11.2,3.0,1.0,1.0,126.0,91.0,0,0,1,0,0,-37.7186,145.0166,21650.0,5.0,2016,5,22,6,0,1,0,0,0,1,0,0,0,0
0,0,1,0,1,1,1,0,1,2,535000.0,0,0,0,0,0,1,0,0,6.1,2.0,1.0,1.0,0.0,70.0,0,0,0,1,1,-37.8614,144.9793,13240.0,88.0,2016,4,23,5,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,1,0,1,2,430000.0,0,0,0,0,1,1,0,0,11.2,2.0,1.0,1.0,152.0,125.0,0,0,1,0,0,-37.7173,144.9976,21650.0,48.0,2016,8,28,6,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,1,3,1650000.0,0,0,0,1,0,1,1,0,11.2,3.0,1.0,2.0,764.0,114.0,0,0,1,1,0,-37.8814,145.0583,8801.0,93.0,2016,5,28,5,1,0,0,0,0,0,0,0,1,0
0,0,1,1,1,1,1,1,0,1,280000.0,0,0,0,1,0,1,0,0,11.4,1.0,1.0,1.0,821.0,33.0,0,1,0,0,1,-37.90296,145.04637,3578.0,43.0,2017,3,6,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,1,0,1,5,1750000.0,0,0,0,0,0,0,1,0,5.5,5.0,2.0,0.0,406.0,225.0,0,0,1,0,0,-37.7751,145.0099,11364.0,118.0,2017,5,13,5,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,1,3,770000.0,0,0,0,1,0,0,1,1,2.1,3.0,2.0,1.0,2325.0,125.0,0,0,0,1,1,-37.8346,144.9673,5943.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,1,0,3,1582000.0,0,0,0,0,0,0,1,1,2.6,3.0,3.0,2.0,119.0,184.0,0,0,0,0,1,-37.8278,144.9984,14949.0,13.0,2017,2,25,5,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,4,1270000.0,0,0,0,1,0,1,0,1,12.2,4.0,2.0,1.0,724.0,125.0,0,1,0,0,0,-37.8651,145.1109,2894.0,48.0,2016,8,10,2,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,3,660000.0,0,0,0,1,1,1,1,0,11.0,3.0,1.0,2.0,211.0,125.0,0,0,1,0,1,-37.86473,144.81507,5301.0,48.0,2017,12,8,4,0,0,1,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,0,3,1395000.0,0,1,1,1,0,0,1,1,7.7,3.0,2.0,1.0,400.0,126.0,0,0,0,1,1,-37.8829,144.9797,8989.0,22.0,2016,4,2,5,0,1,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,1,3,922500.0,0,1,1,0,0,1,0,1,4.6,3.0,1.0,2.0,4657.0,125.0,0,0,1,1,0,-37.8421,145.0237,7217.0,38.0,2017,4,29,5,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,1,3,500000.0,0,0,0,0,1,1,0,0,13.5,3.0,1.0,2.0,627.0,109.0,1,0,0,1,0,-37.8023,144.8227,6763.0,48.0,2016,11,27,6,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,0,3,711100.0,0,0,1,0,1,0,1,1,14.0,3.0,1.0,2.0,743.0,125.0,1,0,0,1,0,-37.73615,144.81445,14042.0,48.0,2017,8,7,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,2,855000.0,0,0,0,1,0,1,0,1,13.0,2.0,1.0,1.0,298.0,125.0,0,1,0,0,1,-37.9247,145.0287,6795.0,48.0,2016,7,11,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,0,0,4,840000.0,0,0,0,1,0,0,1,1,8.8,4.0,1.0,2.0,390.0,120.0,0,0,1,0,0,-37.7395,144.9843,14577.0,68.0,2016,7,30,5,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,4,1400000.0,0,0,0,0,0,0,1,0,4.3,4.0,1.0,3.0,165.0,125.0,0,0,0,1,0,-37.77352,144.92188000000004,6567.0,108.0,2017,6,17,5,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,3,1250000.0,0,0,1,0,1,1,1,0,12.2,3.0,1.0,1.0,842.0,125.0,0,1,0,0,0,-37.867,145.1092,2894.0,48.0,2016,3,12,5,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,3,1300000.0,0,0,0,0,0,0,1,1,2.0,3.0,1.0,1.0,112.0,125.0,0,1,1,0,1,-37.79556,144.98873,4553.0,48.0,2017,9,16,5,1,0,0,0,0,1,0,0,0,0
0,0,1,1,1,1,1,1,1,2,770000.0,0,0,1,0,0,0,0,0,8.2,3.0,1.0,1.0,267.0,95.0,0,1,0,1,1,-37.8021,144.8629,5058.0,78.0,2016,9,24,5,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,4,1500000.0,0,0,0,0,0,0,1,0,7.5,4.0,2.0,2.0,465.0,148.0,0,0,0,1,0,-37.75178,144.89876,9264.0,78.0,2017,12,8,4,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,1,0,2,450000.0,0,0,0,0,0,0,1,1,4.6,2.0,1.0,1.0,0.0,125.0,0,0,1,1,1,-37.8186,145.0423,11308.0,48.0,2016,7,30,5,0,0,1,0,0,0,0,0,1,0
0,1,1,0,0,1,0,1,0,5,1300000.0,0,0,1,0,1,0,0,1,17.2,5.0,2.0,2.0,891.0,177.0,0,1,1,0,1,-37.83691,145.21268999999995,4181.0,38.0,2017,8,19,5,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,1,0,1,3,1300000.0,0,0,0,1,1,1,1,1,6.3,3.0,2.0,2.0,277.0,125.0,0,1,1,0,1,-37.81732,144.89091000000005,6543.0,48.0,2017,9,23,5,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,3,1150000.0,0,0,0,0,1,0,0,1,17.3,3.0,2.0,2.0,335.0,125.0,0,1,1,0,1,-37.97316,145.04041999999995,5366.0,22.0,2017,9,23,5,1,0,0,0,0,0,0,0,1,0
0,1,0,0,1,1,0,1,1,3,607500.0,0,0,0,1,0,0,1,1,20.6,3.0,2.0,2.0,654.0,185.0,1,0,0,1,1,-37.6038,144.9226,15510.0,19.0,2017,7,22,5,1,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,0,3,802000.0,0,0,0,1,0,1,0,1,22.2,3.0,2.0,2.0,251.0,185.0,1,0,0,0,1,-37.98146,145.11715,3940.0,20.0,2017,7,15,5,0,1,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,3,1110000.0,0,0,0,0,0,0,1,1,7.5,3.0,2.0,2.0,94.0,169.0,0,0,1,1,1,-37.8302,145.0525,6482.0,13.0,2016,8,10,2,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,1,1,1,1,3,607500.0,0,1,0,1,0,0,0,0,12.6,3.0,1.0,2.0,487.0,125.0,1,0,0,1,0,-37.7883,144.8439,3755.0,48.0,2016,6,18,5,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,4,3200000.0,0,0,1,0,1,0,1,0,13.7,4.0,3.0,3.0,760.0,325.0,0,1,1,0,0,-37.9326,144.9997,5454.0,98.0,2016,10,9,6,1,0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,1,3,1205000.0,0,0,0,1,0,0,1,1,7.5,3.0,2.0,2.0,270.0,125.0,0,0,1,1,1,-37.7864,145.0631,2671.0,48.0,2017,4,22,5,0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,3,690000.0,0,1,0,1,0,0,0,1,13.0,3.0,1.0,2.0,650.0,125.0,0,1,1,0,1,-37.699,144.9421,8870.0,48.0,2017,5,13,5,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,3,752000.0,0,1,0,0,1,1,0,1,11.7,4.0,2.0,2.0,217.0,125.0,0,1,0,1,0,-37.8522,145.1312,5678.0,25.0,2016,9,17,5,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,1,0,3,1675000.0,0,0,1,0,0,1,0,0,8.4,3.0,2.0,2.0,575.0,125.0,0,0,1,0,1,-37.8468,144.8912,5498.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,1,3,2450000.0,0,1,0,0,1,0,1,1,11.2,3.0,3.0,2.0,482.0,125.0,0,1,1,0,0,-37.912,144.9994,10579.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0
0,1,0,0,1,1,1,1,1,4,898000.0,1,0,1,0,1,0,0,1,21.8,4.0,3.0,2.0,705.0,125.0,1,1,0,0,0,-37.67309,145.14645,4258.0,6.0,2017,12,8,4,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1,0,3,1245000.0,0,0,0,0,1,1,0,0,5.9,3.0,1.0,1.0,412.0,125.0,0,1,1,0,1,-37.7618,144.9455,7082.0,84.0,2016,5,14,5,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,1,5,1652000.0,0,0,0,0,1,0,1,0,8.0,5.0,2.0,1.0,697.0,196.0,0,0,0,1,0,-37.7459,144.9159,9264.0,98.0,2017,5,20,5,1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,1,2,536000.0,0,0,0,0,1,1,1,0,11.2,2.0,1.0,1.0,0.0,125.0,0,0,1,1,0,-37.8713,145.0515,8801.0,58.0,2016,9,24,5,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,3,1430000.0,0,0,0,0,0,0,1,0,6.5,3.0,2.0,2.0,365.0,125.0,0,0,1,0,0,-37.7529,144.9902,8870.0,48.0,2016,8,28,6,1,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,1,0,1,3,810000.0,0,1,0,0,0,1,1,1,9.8,3.0,1.0,2.0,368.0,125.0,0,0,0,1,0,-37.7527,144.8851,588.0,48.0,2016,8,22,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,1,0,1,2,710000.0,0,0,1,1,0,0,0,1,3.4,2.0,2.0,1.0,2135.0,132.0,1,0,0,0,0,-37.79561,144.93499,5263.0,48.0,2017,8,7,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,1,1,1,0,0,3,725000.0,0,0,0,0,0,0,1,0,12.8,3.0,1.0,1.0,657.0,125.0,0,0,0,1,0,-37.7411,144.8638,5629.0,53.0,2016,4,6,2,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,1,0,1,3,1250000.0,0,1,0,0,1,0,1,1,9.8,3.0,2.0,2.0,236.0,193.0,0,1,0,0,1,-37.8982,145.0121,534.0,14.0,2017,11,2,3,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,1,0,1,5,2875000.0,0,0,0,0,0,0,1,0,3.5,5.0,2.0,3.0,818.0,125.0,0,1,1,0,1,-37.7749,144.9864,6244.0,48.0,2017,11,3,4,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,1,1,1,3,655000.0,0,1,0,0,1,1,1,0,12.6,3.0,1.0,1.0,497.0,125.0,1,0,0,1,0,-37.7809,144.8467,3755.0,48.0,2016,9,17,5,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0,1,1,1,0,3,1195000.0,0,0,0,0,0,0,1,0,7.5,3.0,2.0,2.0,381.0,125.0,0,1,1,0,1,-37.75629,144.90626,1543.0,48.0,2017,9,9,5,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,0,7,2600000.0,0,0,0,0,1,1,0,0,9.2,5.0,3.0,3.0,637.0,529.0,0,0,1,1,1,-37.7898,145.0967,7809.0,10.0,2016,5,14,5,1,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0,4,770000.0,0,1,1,0,1,1,1,0,16.1,4.0,2.0,2.0,789.0,169.0,0,1,1,1,1,-37.69646,145.12163,8524.0,43.0,2017,7,29,5,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,3,810000.0,0,0,0,0,1,0,1,0,9.9,3.0,1.0,1.0,470.0,125.0,0,1,1,0,1,-37.7315,144.9399,7485.0,48.0,2017,11,2,3,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,1,4,1782000.0,0,0,0,0,1,1,0,0,13.9,4.0,3.0,3.0,586.0,306.0,0,1,1,1,0,-37.7739,145.1287,9028.0,16.0,2017,2,25,5,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,2,1370000.0,0,0,1,1,0,0,1,1,10.4,2.0,1.0,0.0,650.0,125.0,0,1,1,0,1,-37.73612,144.88474,2291.0,48.0,2017,3,9,3,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,3,641500.0,0,0,0,1,0,0,1,1,13.0,3.0,1.0,1.0,681.0,125.0,0,1,0,0,1,-37.9145,145.0287,6795.0,58.0,2017,4,22,5,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,4,1830000.0,0,0,0,0,0,0,1,0,6.4,4.0,2.0,2.0,606.0,112.0,0,0,1,0,0,-37.7743,145.0316,2211.0,48.0,2016,11,19,5,1,0,0,0,0,1,0,0,0,0
