Suburb_0,Suburb_1,Suburb_2,Suburb_3,Suburb_4,Suburb_5,Suburb_6,Suburb_7,Suburb_8,Rooms,SellerG_0,SellerG_1,SellerG_2,SellerG_3,SellerG_4,SellerG_5,SellerG_6,SellerG_7,SellerG_8,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea_0,CouncilArea_1,CouncilArea_2,CouncilArea_3,CouncilArea_4,CouncilArea_5,Lattitude,Longtitude,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,1,5.3,3.0,1.0,0.0,245.0,126.0,0,0,0,1,0,0,-37.78167,145.01316,11364.0,48.0,2017,6,24,5,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,1,3,0,0,0,0,0,1,1,0,0,12.0,3.0,1.0,2.0,700.0,126.0,0,0,0,1,0,0,-37.72456,145.02292,21650.0,48.0,2017,5,27,5,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,3.3,2.0,1.0,1.0,0.0,72.0,0,0,0,1,1,0,-37.8453,145.0012,14887.0,49.0,2016,7,30,5,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,13.9,2.0,1.0,1.0,0.0,126.0,0,1,0,0,1,0,-37.7839,144.8239,2185.0,48.0,2016,7,30,5,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,1,1,0,1,2,0,0,0,1,0,1,1,0,0,6.1,2.0,1.0,0.0,215.0,126.0,0,0,0,0,1,1,-37.869,144.9826,13240.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,1,1,0,0,12.4,5.0,2.0,2.0,757.0,335.0,0,0,1,1,1,0,-37.77536,145.13163,9028.0,38.0,2017,3,6,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,1,10.9,2.0,1.0,2.0,701.0,94.0,0,0,1,1,0,1,-37.82756,145.11897,4605.0,78.0,2017,3,9,3,1,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,1,5.1,4.0,1.0,1.0,230.0,126.0,0,0,0,1,1,0,-37.8549,144.9948,4380.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,1,5.5,3.0,1.0,2.0,150.0,119.0,0,0,0,1,0,0,-37.7648,145.0098,11364.0,18.0,2016,9,17,5,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,6.4,3.0,2.0,2.0,244.0,129.0,0,0,0,1,0,1,-37.82017000000001,144.84904,962.0,8.0,2017,5,27,5,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,11.2,2.0,1.0,1.0,149.0,70.0,0,0,0,1,0,0,-37.7177,144.9917,21650.0,38.0,2016,8,10,2,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,11.8,1.0,1.0,1.0,0.0,36.0,0,0,1,0,0,1,-37.9028,145.0475,3578.0,58.0,2016,4,2,5,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,12.2,4.0,1.0,1.0,656.0,126.0,0,0,1,0,0,0,-37.8696,145.1111,2894.0,48.0,2017,8,4,4,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,1,18.0,3.0,2.0,1.0,338.0,114.0,0,1,0,0,1,0,-37.705,144.75759,3640.0,18.0,2017,6,17,5,1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,5.1,1.0,1.0,1.0,0.0,126.0,0,0,0,0,1,1,-37.8584,144.9994,4380.0,8.0,2016,10,15,5,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,1,0,0,1,7.8,2.0,1.0,3.0,633.0,134.3,0,0,0,1,1,1,-37.8427,145.0824,8920.0,58.0,2017,5,13,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,3.3,1.0,1.0,0.0,0.0,48.0,0,0,0,1,1,0,-37.8427,145.0006,14887.0,58.0,2016,9,24,5,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,1.6,2.0,1.0,0.0,63.0,126.0,0,0,0,0,0,1,-37.8018,144.9825,5825.0,118.0,2017,4,29,5,1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,1,0,1,4,0,0,0,0,0,1,1,0,0,15.5,4.0,2.0,2.0,457.0,585.0,0,0,1,1,1,0,-37.76951,145.16182,6202.0,48.0,2017,6,17,5,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,5,0,0,0,0,1,0,0,1,1,9.7,5.0,4.0,2.0,742.0,262.0,0,0,0,1,1,1,-37.80218,145.10063,7809.0,38.0,2017,7,22,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,2,0,0,0,1,0,1,1,0,1,7.5,2.0,2.0,2.0,358.0,126.0,0,0,0,1,1,1,-37.8341,145.0528,6482.0,48.0,2016,10,15,5,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,1,1,4,0,0,0,1,0,1,0,1,1,11.8,5.0,2.0,2.0,617.0,126.0,0,0,1,1,1,0,-37.7582,145.0889,4480.0,48.0,2016,6,8,2,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,3,0,0,0,0,1,0,1,0,1,14.3,3.0,2.0,4.0,867.0,126.0,0,1,0,0,0,1,-37.94107,145.04217,2555.0,48.0,2017,6,24,5,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,1,1,0,0,3,0,0,0,1,0,1,0,1,1,20.6,3.0,2.0,2.0,219.0,175.0,0,1,0,0,1,1,-37.57243,144.92663000000005,15510.0,8.0,2017,5,27,5,0,1,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,1,1,1,3,0,0,0,0,0,1,1,0,0,8.8,3.0,1.0,0.0,544.0,126.0,0,0,1,1,1,1,-37.75024000000001,145.04798,2947.0,48.0,2017,12,8,4,1,0,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,3,0,0,0,1,0,1,0,0,1,7.5,2.0,1.0,1.0,0.0,95.0,0,0,0,1,1,1,-37.8414,145.0505,6482.0,48.0,2016,4,16,5,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,1,1,0,1,2,0,0,0,0,1,0,1,0,1,6.1,2.0,2.0,1.0,2920.0,84.0,0,0,0,0,1,1,-37.8709,144.9807,13240.0,12.0,2017,8,4,4,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,4.3,3.0,1.0,0.0,199.0,126.0,0,0,0,0,1,0,-37.77561,144.91695,6567.0,118.0,2017,7,15,5,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,1,0,1,0,9.2,3.0,1.0,2.0,650.0,126.0,0,0,0,1,1,1,-37.8505,145.0852,10412.0,48.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,1,1,0,1,2,0,0,0,0,1,0,0,1,1,6.1,2.0,1.0,1.0,0.0,75.0,0,0,0,0,1,1,-37.8573,144.9825,13240.0,48.0,2016,3,12,5,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,9.9,2.0,1.0,2.0,336.0,126.0,0,0,1,1,0,1,-37.7323,144.9288,7485.0,48.0,2016,6,8,2,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,10.3,4.0,3.0,2.0,597.0,245.0,0,0,1,1,1,1,-37.765,145.0646,1651.0,78.0,2016,11,27,6,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,6.9,2.0,1.0,1.0,0.0,82.0,0,0,0,0,1,0,-37.7701,144.9079,6232.0,68.0,2016,10,9,6,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,1,1,0,1,9.7,2.0,1.0,2.0,844.0,126.0,0,0,0,1,1,1,-37.8037,145.0636,5682.0,48.0,2016,5,28,5,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,1,1,0,1,11.7,3.0,1.0,1.0,662.0,126.0,0,0,1,0,0,0,-37.8561,145.1054,5678.0,48.0,2016,3,12,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,13.5,3.0,2.0,6.0,805.0,181.0,0,1,0,0,1,0,-37.7966,144.7928,6763.0,23.0,2016,8,28,6,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,1,1,8,0,0,0,0,0,1,1,0,0,17.4,8.0,3.0,1.0,1063.0,101.0,0,0,1,1,0,1,-37.65826,144.92538000000005,4704.0,38.0,2017,9,23,5,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,1,1,1,0,4.2,3.0,1.0,1.0,188.0,106.0,0,1,0,0,0,0,-37.7953,144.9275,5263.0,108.0,2016,3,9,2,1,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,13.8,3.0,1.0,1.0,416.0,126.0,0,0,1,1,1,1,-37.7321,145.0828,2698.0,48.0,2016,7,16,5,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,3,0,0,0,1,1,0,1,0,1,12.2,3.0,1.0,2.0,723.0,126.0,0,0,1,0,0,0,-37.8642,145.1109,2894.0,48.0,2016,7,5,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,7.0,3.0,1.0,1.0,448.0,104.0,0,0,1,0,1,1,-37.8171,144.8753,6543.0,78.0,2016,9,24,5,1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,3,0,0,0,0,1,1,1,0,1,6.5,3.0,2.0,2.0,158.0,126.0,0,0,0,1,0,0,-37.7586,145.0056,8870.0,48.0,2016,7,11,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,4.6,2.0,1.0,0.0,192.0,100.0,0,0,0,1,1,0,-37.85562,145.00571000000005,7717.0,108.0,2017,12,8,4,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,2.6,3.0,2.0,2.0,80.0,144.0,0,0,0,0,0,1,-37.8233,144.9947,14949.0,168.0,2016,9,24,5,1,0,0,0,0,1,0,0,0,0,0
