Suburb,Rooms,Type,Price,SellerG,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold
Abbotsford,1,u,441000.0,Greg,2.5,1.0,1.0,1.0,0.0,125.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,48.0,2016,5,14,5
Abbotsford,2,h,1310000.0,Jellis,2.5,2.0,1.0,2.0,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,128.0,2016,10,15,5
Abbotsford,3,h,1200000.0,Jellis,2.5,3.0,2.0,1.0,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,138.0,2016,7,16,5
Abbotsford,3,h,1176500.0,LITTLE,2.5,2.0,1.0,1.0,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,128.0,2016,7,16,5
Abbotsford,3,h,955000.0,Collins,2.5,3.0,1.0,0.0,183.0,125.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,48.0,2016,9,17,5
Abbotsford,2,h,890000.0,Biggin,2.5,2.0,1.0,1.0,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,33.0,2016,9,17,5
Abbotsford,4,h,1330000.0,Kay,2.5,4.0,2.0,2.0,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,118.0,2017,3,18,5
Abbotsford,3,t,900000.0,Beller,2.5,3.0,2.0,2.0,0.0,125.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,8.0,2017,3,18,5
Abbotsford,3,u,1090000.0,Jellis,2.5,3.0,2.0,2.0,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,48.0,2017,3,18,5
Abbotsford,2,u,500000.0,Collins,2.5,2.0,1.0,1.0,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,48.0,2016,6,18,5
Abbotsford,2,h,1100000.0,Biggin,2.5,2.0,2.0,1.0,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,5.0,2016,6,18,5
Abbotsford,2,h,1315000.0,Marshall,2.5,2.0,1.0,0.0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,118.0,2016,11,19,5
Abbotsford,1,u,426000.0,Greg,2.5,1.0,1.0,1.0,0.0,125.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,48.0,2016,8,22,0
Abbotsford,3,h,1447500.0,Nelson,2.5,3.0,3.0,1.0,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,6.0,2016,8,22,0
Abbotsford,1,u,457000.0,Jellis,2.5,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,48.0,2016,8,22,0
Abbotsford,2,h,1135000.0,Nelson,2.5,2.0,2.0,2.0,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,98.0,2016,8,22,0
Abbotsford,4,h,1542000.0,Collins,2.5,4.0,3.0,1.0,0.0,125.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,48.0,2016,9,24,5
Abbotsford,3,h,1290000.0,Biggin,2.5,3.0,2.0,2.0,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,48.0,2017,2,25,5
Abbotsford,3,h,1290000.0,Biggin,2.5,3.0,1.0,1.0,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,68.0,2017,2,25,5
Abbotsford,1,u,470000.0,Nelson,2.5,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,5.0,2016,7,26,1
Abbotsford,2,h,1180000.0,Jellis,2.5,2.0,1.0,0.0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,118.0,2016,11,27,6
Abbotsford,3,h,1195000.0,Jellis,2.5,3.0,2.0,1.0,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,20.0,2016,11,27,6
Abbotsford,2,h,1012500.0,Nelson,2.5,2.0,1.0,0.0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,118.0,2016,5,28,5
Abbotsford,2,h,1030000.0,Biggin,2.5,2.0,1.0,1.0,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,88.0,2016,7,30,5
Airport West,3,t,840000.0,Nelson,13.5,3.0,2.0,1.0,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,2.0,2016,3,9,2
Airport West,3,h,730000.0,Nelson,13.5,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,53.0,2016,3,12,5
Airport West,3,h,770000.0,Nelson,13.5,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,53.0,2017,4,3,0
Airport West,2,h,603000.0,Nelson,13.5,2.0,1.0,1.0,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,68.0,2017,4,3,0
Airport West,3,t,700000.0,Brad,13.5,3.0,2.0,2.0,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,9.0,2017,4,3,0
Airport West,3,h,600000.0,Maddison,13.5,2.0,1.0,1.0,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,38.0,2017,4,3,0
Airport West,2,u,500000.0,Barry,13.5,2.0,1.0,1.0,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,7.0,2017,4,3,0
Airport West,3,h,720000.0,Barry,13.5,2.0,1.0,1.0,620.0,125.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,48.0,2016,6,8,2
Airport West,4,h,785000.0,Considine,13.5,3.0,1.0,2.0,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,48.0,2016,6,8,2
Airport West,6,h,725000.0,Barry,13.5,6.0,3.0,2.0,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,38.0,2016,7,5,1
Airport West,2,t,450000.0,Barry,13.5,2.0,1.0,1.0,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,3.0,2016,7,5,1
Airport West,2,u,515000.0,Barry,13.5,2.0,1.0,1.0,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,5.0,2016,7,11,0
Airport West,2,u,530000.0,Nelson,13.5,2.0,1.0,1.0,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,6.0,2016,10,9,6
Airport West,3,h,895000.0,Rendina,13.5,3.0,1.0,6.0,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,43.0,2016,10,9,6
Airport West,3,h,805000.0,Nelson,13.5,3.0,1.0,1.0,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,68.0,2016,10,12,2
Airport West,3,u,752000.0,Nelson,13.5,3.0,1.0,1.0,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,25.0,2017,11,2,3
Airport West,2,u,440000.0,Barry,13.5,2.0,1.0,1.0,192.0,125.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,48.0,2016,8,13,5
Airport West,5,h,755000.0,Propertyau,13.5,3.0,2.0,2.0,596.0,125.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,48.0,2016,5,14,5
Airport West,3,t,700000.0,Brad,13.5,3.0,2.0,2.0,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,9.0,2016,10,15,5
Airport West,3,h,830000.0,Barry,13.5,3.0,1.0,2.0,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,58.0,2016,4,16,5
Airport West,2,u,462500.0,Barry,13.5,2.0,1.0,1.0,164.0,125.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,15.0,2016,7,16,5
Airport West,3,h,670000.0,Barry,13.5,3.0,2.0,2.0,657.0,125.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,48.0,2016,7,16,5
Airport West,2,h,675000.0,Barry,13.5,2.0,1.0,1.0,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,43.0,2016,7,16,5
Airport West,3,h,1042000.0,Nelson,13.5,3.0,2.0,5.0,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,68.0,2016,7,16,5
Airport West,3,h,910000.0,McDonald,13.5,3.0,1.0,1.0,775.0,125.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,48.0,2016,9,17,5
Airport West,4,h,773000.0,Brad,13.5,5.0,3.0,4.0,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,38.0,2016,9,17,5
Airport West,3,h,810000.0,Barry,13.5,3.0,3.0,2.0,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,38.0,2017,3,18,5
Airport West,3,h,715000.0,Rendina,13.5,3.0,2.0,2.0,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,23.0,2017,3,18,5
Airport West,3,h,790000.0,Nelson,13.5,3.0,1.0,3.0,614.0,125.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,48.0,2017,3,18,5
Airport West,3,t,540000.0,Nelson,13.5,2.0,2.0,1.0,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,8.0,2016,6,18,5
Airport West,3,t,825000.0,Barry,13.5,3.0,2.0,1.0,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,58.0,2016,11,19,5
Airport West,3,h,685000.0,Barry,13.5,3.0,1.0,1.0,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,43.0,2016,5,22,6
Airport West,3,h,805000.0,Barry,13.5,3.0,1.0,1.0,623.0,125.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,48.0,2016,8,22,0
Airport West,2,u,510000.0,Nelson,13.5,2.0,1.0,1.0,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,48.0,2016,8,22,0
Airport West,3,h,612000.0,Nelson,13.5,3.0,2.0,1.0,212.0,125.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,48.0,2016,8,22,0
Airport West,3,h,662000.0,Brad,13.5,3.0,1.0,2.0,612.0,125.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,48.0,2016,4,23,5
Airport West,4,h,978000.0,Nelson,13.5,4.0,3.0,2.0,532.0,125.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,48.0,2016,9,24,5
Airport West,3,h,720000.0,Nelson,13.5,3.0,1.0,1.0,585.0,125.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,48.0,2017,2,25,5
Airport West,4,h,765000.0,Prof.,13.5,4.0,1.0,2.0,509.0,125.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,48.0,2016,11,27,6
Airport West,4,h,900000.0,Harcourts,13.5,4.0,2.0,3.0,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,43.0,2016,11,27,6
Albert Park,2,h,1275000.0,hockingstuart,3.3,2.0,1.0,0.0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,118.0,2016,3,9,2
Albert Park,2,h,1455000.0,Thomson,3.3,2.0,1.0,0.0,159.0,125.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,48.0,2016,3,9,2
Albert Park,3,h,2850000.0,Buxton,3.3,3.0,2.0,0.0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0,128.0,2017,4,3,0
Albert Park,3,h,1850000.0,Greg,3.3,3.0,2.0,0.0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,128.0,2017,4,3,0
Albert Park,2,h,1436000.0,RT,3.3,2.0,1.0,0.0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,118.0,2017,4,3,0
Albert Park,2,h,1110000.0,Marshall,3.3,1.0,1.0,0.0,147.0,125.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,118.0,2016,6,8,2
Albert Park,2,h,1550000.0,Sotheby's,3.3,2.0,1.0,1.0,167.0,125.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,48.0,2016,7,5,1
Albert Park,4,h,2300000.0,Marshall,3.3,4.0,2.0,1.0,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,138.0,2016,7,5,1
Albert Park,3,t,1550000.0,Marshall,3.3,3.0,2.0,2.0,718.0,125.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,48.0,2016,7,11,0
Albert Park,3,h,1800000.0,Greg,3.3,3.0,2.0,1.0,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,22.0,2016,7,11,0
Albert Park,2,h,2120000.0,Greg,3.3,2.0,1.0,1.0,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,118.0,2016,10,9,6
Albert Park,3,h,1800000.0,Cayzer,3.3,3.0,1.0,1.0,253.0,125.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,48.0,2016,10,9,6
Albert Park,3,h,1800000.0,Marshall,3.3,3.0,2.0,1.0,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,118.0,2016,10,9,6
Albert Park,2,h,1810000.0,Greg,3.3,2.0,1.0,0.0,240.0,125.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,48.0,2016,10,12,2
Albert Park,3,h,2615000.0,Cayzer,3.3,3.0,2.0,1.0,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,138.0,2016,10,12,2
Albert Park,5,h,2100000.0,Greg,3.3,5.0,2.0,1.0,237.0,125.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,48.0,2016,10,12,2
Albert Park,3,h,1300000.0,hockingstuart,3.3,3.0,1.0,0.0,129.0,125.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,48.0,2016,10,12,2
Albert Park,3,h,1370000.0,Greg,3.3,3.0,2.0,2.0,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,18.0,2016,12,6,1
Albert Park,2,h,1000000.0,Cayzer,3.3,2.0,1.0,0.0,288.0,125.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,48.0,2016,12,11,6
Albert Park,3,h,2575000.0,Greg,3.3,3.0,2.0,1.0,228.0,125.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,48.0,2016,10,15,5
Albert Park,2,h,1322500.0,Greg,3.3,2.0,1.0,0.0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,128.0,2016,10,15,5
Albert Park,2,h,1562500.0,Greg,3.3,2.0,1.0,0.0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,128.0,2016,10,15,5
Albert Park,3,h,2000000.0,RT,3.3,3.0,2.0,1.0,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,118.0,2016,4,16,5
Albert Park,3,h,1900000.0,Greg,3.3,3.0,1.0,0.0,209.0,125.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,118.0,2017,3,18,5
Albert Park,3,h,3010000.0,Greg,3.3,3.0,2.0,0.0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0,128.0,2017,3,18,5
Albert Park,4,h,2800000.0,Cayzer,3.3,4.0,3.0,1.0,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0,108.0,2016,6,18,5
Albert Park,2,u,647000.0,Greg,3.3,2.0,1.0,1.0,0.0,125.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,48.0,2016,5,22,6
Albert Park,3,h,2100000.0,Marshall,3.3,2.0,1.0,1.0,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,118.0,2016,4,23,5
Albert Park,3,h,2000000.0,Marshall,3.3,3.0,1.0,1.0,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,128.0,2016,9,24,5
Albert Park,1,u,442500.0,Marshall,3.3,1.0,1.0,0.0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,48.0,2017,2,25,5
Albert Park,4,h,4735000.0,Marshall,3.3,4.0,2.0,1.0,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0,108.0,2017,2,25,5
Albert Park,2,h,1340000.0,Greg,3.3,2.0,1.0,0.0,136.0,125.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,48.0,2017,2,25,5
Albert Park,3,h,1801000.0,hockingstuart,3.3,3.0,1.0,1.0,202.0,125.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,48.0,2017,2,25,5
Albert Park,3,h,1532000.0,Chisholm,3.3,3.0,3.0,1.0,0.0,125.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,48.0,2016,7,26,1
Albert Park,3,h,3755000.0,Greg,3.3,3.0,2.0,2.0,325.0,125.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280.0,48.0,2016,7,26,1
Albert Park,4,h,2140000.0,Greg,3.3,3.0,2.0,1.0,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0,138.0,2016,6,27,0
Albert Park,2,h,1750000.0,Marshall,3.3,2.0,1.0,1.0,162.0,125.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0,48.0,2016,11,27,6
Albert Park,2,h,980000.0,Greg,3.3,2.0,1.0,0.0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0,128.0,2016,5,28,5
Albert Park,3,h,2030000.0,hockingstuart,3.3,3.0,2.0,0.0,152.0,125.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0,48.0,2016,8,28,6
Albert Park,3,h,1740000.0,Marshall,3.3,3.0,2.0,2.0,147.0,134.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0,128.0,2016,8,28,6
Albert Park,3,h,2800000.0,Buxton,3.3,3.0,3.0,1.0,0.0,125.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280.0,48.0,2016,7,30,5
Albert Park,1,h,985000.0,Marshall,3.3,1.0,1.0,0.0,81.0,54.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0,118.0,2016,7,30,5
Alphington,4,h,2000000.0,Brace,6.4,3.0,2.0,4.0,853.0,263.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0,88.0,2016,3,9,2
Alphington,3,h,1110000.0,Jellis,6.4,3.0,2.0,2.0,208.0,125.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211.0,5.0,2016,3,9,2
Alphington,3,h,1492000.0,Jellis,6.4,3.0,2.0,2.0,411.0,125.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211.0,48.0,2017,4,3,0
Alphington,4,h,1717500.0,Collins,6.4,4.0,2.0,1.0,599.0,203.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0,93.0,2016,8,10,2
Alphington,5,h,2840000.0,Nelson,6.4,5.0,4.0,4.0,809.0,165.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0,108.0,2016,12,6,1
Alphington,2,u,525500.0,Miles,6.4,2.0,1.0,1.0,88.0,60.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0,58.0,2016,12,11,6
Alphington,2,t,805000.0,Miles,6.4,2.0,2.0,3.0,155.0,140.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0,14.0,2016,12,11,6
Alphington,2,u,465000.0,McGrath,6.4,2.0,1.0,1.0,0.0,125.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,48.0,2016,12,11,6
Alphington,3,h,2000000.0,hockingstuart,6.4,3.0,3.0,2.0,686.0,125.0,Darebin,-37.78,145.0341,Northern Metropolitan,2211.0,48.0,2016,10,15,5
Alphington,3,h,1540000.0,Nelson,6.4,3.0,1.0,2.0,592.0,125.0,Darebin,-37.7755,145.0288,Northern Metropolitan,2211.0,48.0,2016,4,16,5
Alphington,2,u,820000.0,Nelson,6.4,2.0,1.0,1.0,183.0,125.0,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0,48.0,2017,3,18,5
Alphington,4,h,1830000.0,Nelson,6.4,4.0,2.0,2.0,606.0,112.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0,48.0,2016,11,19,5
Alphington,4,h,2100000.0,Nelson,6.4,4.0,2.0,2.0,575.0,271.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0,10.0,2016,11,19,5
Alphington,3,h,865000.0,hockingstuart,6.4,3.0,1.0,1.0,180.0,131.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0,8.0,2016,5,22,6
Alphington,2,u,390000.0,Nelson,6.4,2.0,1.0,1.0,0.0,60.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,58.0,2016,5,22,6
Alphington,2,t,650000.0,Brace,6.4,0.0,1.0,0.0,0.0,125.0,Yarra,-37.7848,145.025,Northern Metropolitan,2211.0,48.0,2016,9,24,5
Alphington,2,u,512000.0,Love,6.4,2.0,1.0,1.0,0.0,61.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211.0,53.0,2017,2,25,5
Alphington,3,h,1165000.0,Barry,6.4,3.0,1.0,2.0,979.0,125.0,Yarra,-37.7792,145.029,Northern Metropolitan,2211.0,48.0,2016,6,27,0
Alphington,4,h,1900000.0,McGrath,6.4,4.0,2.0,2.0,556.0,272.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211.0,88.0,2016,11,27,6
Alphington,3,h,1485000.0,McGrath,6.4,3.0,0.0,0.0,597.0,125.0,Darebin,-37.7781,145.0284,Northern Metropolitan,2211.0,48.0,2016,8,28,6
Alphington,4,h,1950000.0,Jellis,6.4,4.0,2.0,3.0,589.0,210.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211.0,98.0,2016,7,30,5
Altona,3,h,520000.0,Greg,13.8,3.0,2.0,1.0,352.0,242.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301.0,3.0,2016,3,9,2
Altona,5,h,1525000.0,Greg,13.8,5.0,3.0,3.0,729.0,268.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301.0,13.0,2016,3,12,5
Altona,2,t,720000.0,hockingstuart,13.8,2.0,1.0,2.0,292.0,125.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301.0,5.0,2016,4,2,5
Altona,3,h,1120000.0,Barlow,13.8,3.0,1.0,2.0,506.0,120.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301.0,88.0,2017,4,3,0
Altona,4,h,780000.0,Sweeney,13.8,4.0,1.0,4.0,655.0,125.0,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301.0,48.0,2016,4,6,2
Altona,4,h,1780000.0,Greg,13.8,4.0,3.0,6.0,1057.0,220.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301.0,56.0,2016,4,6,2
Altona,3,u,630000.0,Barlow,13.8,2.0,1.0,2.0,311.0,94.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301.0,63.0,2016,6,8,2
Altona,2,u,406000.0,hockingstuart,13.8,2.0,1.0,1.0,65.0,125.0,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301.0,48.0,2016,6,8,2
Altona,3,h,660000.0,Greg,13.8,3.0,1.0,1.0,602.0,123.0,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301.0,63.0,2016,7,5,1
Altona,3,h,683500.0,Greg,13.8,3.0,1.0,1.0,530.0,125.0,Hobsons Bay,-37.8594,144.817,Western Metropolitan,5301.0,48.0,2016,7,11,0
Altona,2,u,580000.0,Barlow,13.8,2.0,1.0,1.0,225.0,93.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301.0,30.0,2016,8,10,2
Altona,3,h,1335000.0,hockingstuart,13.8,3.0,1.0,4.0,777.0,22.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301.0,65.0,2016,8,10,2
Altona,3,t,800000.0,hockingstuart,13.8,3.0,2.0,2.0,280.0,125.0,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301.0,21.0,2016,8,10,2
